Type,Case Number,Intelligence Number,IR_Fraud Payment,Ground_Truth_Fraud Payment,Found in Source,Found in IR,IR_Can Be Located,Ground_Truth_Can Be Located,IR_Suspect Number,Ground Truth_Suspect Number,Source_Transaction Date (value),IR_Transaction Date (value),Ground_Truth_Transaction Date (value),Source_Originating Amount,IR_Originating Amount,Ground_Truth_Originating Amount,Source_Originating Currency,IR_Originating Currency,Ground_Truth_Originating Currency,Source_Originator Name,IR_Originator Name,Ground_Truth_Originator Name,Source_Originator Account Number,IR_Originator Account Number,Ground_Truth_Originator Account Number,Source_Originator Bank Raw,IR_Originator Bank Raw,Ground_Truth_Originator Bank Raw,Source_Beneficiary Name,IR_Beneficiary Name,Ground_Truth_Beneficiary Name,Source_Beneficiary Account Number,IR_Beneficiary Account Number,Ground_Truth_Beneficiary Account Number,Source_Beneficiary Bank Raw,IR_Beneficiary Bank Raw,Ground_Truth_Beneficiary Bank Raw,Source_Transaction Channel,IR_Transaction Channel,Ground_Truth_Transaction Channel,Remarks
UAR,27,6,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information received a message (Internal Referral - Payment Team) from remitting bank which requested to disregard previous Intelligence 5.
ADCC,28,1,1,,,TRUE,TRUE,,1,,,30/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
ADCC,28,1,2,,,TRUE,TRUE,,2,,,30/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHUNG,,,111-111111-102,,,HASE,,,cash,,
ADCC,28,1,3,,,TRUE,TRUE,,2,,,31/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHUNG,,,111-111111-102,,,HASE,,,cash,,
ADCC,28,1,4,,,TRUE,TRUE,,3,,,31/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHIU,,,111-111111-103,,,HASE,,,cash,,
ADCC,28,1,5,,,TRUE,TRUE,,4,,,30/12/2024,,,"50,000.00",,,HKD,,,null,,,null,,,null,,,CHONG,,,111-111111-104,,,HASE,,,cash,,
ADCC,28,1,6,,,TRUE,TRUE,,4,,,30/12/2024,,,"50,000.00",,,HKD,,,null,,,null,,,null,,,CHONG,,,111-111111-104,,,HASE,,,cash,,
Police Letter,28,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,28,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,28,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,28,2,10,,,TRUE,TRUE,,3,,,30/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHIU,,,111-111111-103,,,HASE,,,cash,,
Police Letter,28,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,28,2,12,,,TRUE,TRUE,,4,,,30/12/2024,,,"10,000.00",,,HKD,,,null,,,null,,,null,,,CHONG,,,111-111111-104,,,HASE,,,cash,,
ODFT,29,1,1,,,TRUE,TRUE,,1,,,27/12/2024,,,"129,890.00",,,HKD,,,1/YEUNG KAI,,,666-66666-601,,,CHINA CONSTRUCTION BANK CORPORATION,,,CHAN,,,111-111111-101,,,HASE,,,Branch,,
ODFT,29,1,2,,,TRUE,TRUE,,1,,,27/12/2024,,,"158,890.00",,,HKD,,,1/YEUNG KAI,,,666-66666-601,,,CHINA CONSTRUCTION BANK CORPORATION,,,CHAN,,,111-111111-101,,,HASE,,,Branch,,
UAR,29,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,29,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,30,1,1,,,TRUE,TRUE,,1,,,3/1/2025,,,300,,,HKD,,,YEUNG KAI,,,666-66666-601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,30,1,2,,,TRUE,TRUE,,1,,,4/1/2025,,,300,,,HKD,,,YEUNG KAI,,,666-66666-601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,30,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,30,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Warrant,30,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,30,5,3,,,TRUE,TRUE,,1,,,5/1/2025,,,"2,320.00",,,HKD,,,TSANG SIU MING,,,666-66666-602,,,HSBC,,,CHAN,,,122222221,,,HASE,,,FPS,,
Search Warrant,30,6,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,30,7,4,,,TRUE,TRUE,,1,,,3/1/2025,,,"32,300.00",,,HKD,,,XIE PANGAN,,,666-66666-603,,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,,,CHAN,,,122222221,,,HASE,,,FPS,,
UAR,30,8,5,,,TRUE,TRUE,,1,,,3/1/2025,,,"64,348.00",,,HKD,,,XIE PANGAN,,,666-66666-603,,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,,,CHAN,,,122222221,,,HASE,,,FPS,,
UAR,30,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,30,10,6,,,TRUE,TRUE,,1,,,3/1/2025,,,"30,000.00",,,HKD,,,Victim,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,was deposit by cash,,
ADCC,31,1,1,,,TRUE,TRUE,,1,,,4/2/2025,,,"110,555.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,31,1,2,,,TRUE,TRUE,,1,,,4/2/2025,,,"50,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,31,1,3,,,TRUE,TRUE,,1,,,5/2/2025,,,"200,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,31,1,4,,,TRUE,TRUE,,1,,,5/2/2025,,,"200,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,DBS,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,31,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,31,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,31,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,31,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,31,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,31,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,31,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,31,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Warrant,31,7,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,32,1,1,,,TRUE,FALSE,,1,,,15/8/2024,,,"5,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,32,2,2,,,TRUE,TRUE,,1,,,7/8/2024,,,"4,000.00",,,HKD,,,CHUNG SIU,,,333-333333-102,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer CHUNG SIU
UAR,32,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,33,1,1,,,TRUE,TRUE,,1,,,3/1/2024,3/1/2025,,"49,553.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,33,1,2,,,TRUE,TRUE,,1,,,3/1/2024,3/1/2025,,"78,123.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,33,1,3,,,TRUE,TRUE,,1,,,3/1/2024,3/1/2025,,"1,612.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Search Warrant,33,2,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,33,3,4,,,TRUE,TRUE,,1,,,3/1/2025,3/1/2025,,"18,000.00",,,HKD,,,YAN MEI MEI,,,444-4444444-102,,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,33,4,5,,,TRUE,TRUE,,1,,,3/1/2025,,,"20,000.00",,,HKD,,,TAN FUNG,,,444-4444444-103,,,BOC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,33,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,33,6,6,,,TRUE,TRUE,,1,,,2/1/2025,,,"4,000.00",,,HKD,,,PANG YA SHI,,,444-4444444-104,,,BOC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,34,1,1,,,TRUE,TRUE,,1,,,5/1/2025,,,"200,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,34,1,2,,,TRUE,TRUE,,1,,,5/1/2025,,,"200,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,34,1,3,,,TRUE,TRUE,,1,,,5/1/2025,,,"12,300.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,34,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,34,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,34,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,34,3,4,,,TRUE,TRUE,,1,,,5/1/2025,,,"50,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
ADCC,35,1,1,,,TRUE,TRUE,,1,,,20/1/2025,,,"130,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,Bank of Communications (Hong Kong) Ltd.,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ODFT,36,1,1,,,TRUE,TRUE,,2,,,2/1/2025,,,"10,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHUNG SIU,,,333-333333-102,,,The Bank of East Asia,,,null,,
ODFT,36,1,2,,,TRUE,TRUE,,2,,,2/1/2025,,,"8,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHUNG SIU,,,333-333333-102,,,The Bank of East Asia,,,null,,
ODFT,36,1,3,,,TRUE,FALSE,,2,,,2/1/2025,,,"10,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHUNG SIU,,,333-333333-102,,,The Bank of East Asia,,,null,,
ODFT,36,1,4,,,TRUE,FALSE,,2,,,2/1/2025,,,"10,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHUNG SIU,,,333-333333-102,,,The Bank of East Asia,,,null,,
ODFT,36,1,5,,,TRUE,FALSE,,2,,,2/1/2025,,,"5,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHUNG SIU,,,333-333333-102,,,The Bank of East Asia,,,null,,
ODFT,36,1,6,,,TRUE,FALSE,,2,,,2/1/2025,,,"5,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHUNG SIU,,,333-333333-102,,,The Bank of East Asia,,,null,,
ODFT,36,1,7,,,TRUE,FALSE,,2,,,2/1/2025,,,"2,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHUNG SIU,,,333-333333-102,,,The Bank of East Asia,,,null,,
ODFT,36,1,8,,,TRUE,FALSE,,1,,,2/1/2025,,,"30,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHAN,,,111-111111-101,,,HSB,,,null,,
ODFT,36,1,9,,,TRUE,FALSE,,1,,,2/1/2025,,,"30,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHAN,,,111-111111-101,,,HSB,,,null,,
ODFT,36,1,10,,,TRUE,FALSE,,1,,,2/1/2025,,,"10,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHAN,,,111-111111-101,,,HSB,,,null,,
ODFT,36,1,11,,,TRUE,FALSE,,1,,,2/1/2025,,,"10,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHAN,,,111-111111-101,,,HSB,,,null,,
ADCC,37,1,1,,,TRUE,TRUE,,1,,,31/12/2024,,,"55,100.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,37,1,2,,,TRUE,TRUE,,1,,,31/12/2024,,,"66,120.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,37,1,3,,,TRUE,TRUE,,1,,,1/1/2025,,,"52,460.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,37,1,4,,,TRUE,TRUE,,2,,,2/1/2025,,,"113,504.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHUNG,,,111-111111-102,,,HASE,,,null,,
HSBC Referral,37,2,5,,,TRUE,TRUE,,2,,,2/1/2025,,,"2,000.00",,,HKD,,,YAN MEI MEI,,,444-4444444-102,,,HSBC,,,CHUNG,,,111-111111-102,,,HASE,,,null,,
UAR,37,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,37,4,6,,,TRUE,TRUE,,2,,,2/1/2025,,,"2,600.00",,,HKD,,,TAN FUNG,,,444-4444444-103,,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,,,CHUNG,,,111-111111-102,,,HASE,,,null,,
Search Warrant,37,5,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCC,38,1,1,,,TRUE,TRUE,,1,,,29/12/2024,,,"116,523.87",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,38,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCC,38,3,2,,,TRUE,TRUE,,1,,,30/12/2024,,,"150,000.00",,,HKD,,,YAN MEI MEI,,,444-4444444-102,,,Bank of China (Hong Kong) Limited,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Search Warrant,38,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,38,5,3,,,TRUE,TRUE,,1,,,30/12/2024,,,"10,000.00",,,HKD,,,TAN FUNG,,,444-4444444-103,,,Bank of China (Hong Kong) Limited,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,38,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCC,39,1,1,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,2,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,3,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,4,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,5,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,6,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,7,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,8,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,9,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,10,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,11,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,12,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,13,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,14,,,TRUE,TRUE,,1,,,2/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,39,1,15,,,TRUE,TRUE,,1,,,2/1/2025,,,"70,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,SCB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,39,2,16,,,TRUE,TRUE,,1,,,4/1/2025,,,"40,012.00",,,HKD,,,CHAN TAI MAN,,,555-555555-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,39,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,40,1,1,,,TRUE,TRUE,,1,,,3/1/2025,,,"3,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,ZA Bank Limited,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,40,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCC,41,1,1,,,TRUE,TRUE,,1,,,30/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
ODFT,42,1,1,,,TRUE,TRUE,,1,,,2/1/2025,,,"10,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,42,2,2,,,TRUE,TRUE,,1,,,3/1/2025,,,"2,200.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
Police Letter,42,2,3,,,TRUE,TRUE,,1,,,3/1/2025,,,"10,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
Police Letter,42,3,4,,,TRUE,TRUE,,1,,,3/1/2025,,,"30,000.00",,,HKD,,,YAN,,,222-222222-102,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,42,3,5,,,TRUE,TRUE,,1,,,3/1/2025,,,"42,000.00",,,HKD,,,YAN,,,222-222222-102,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Search Warrant,43,1,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,43,2,1,,,TRUE,FALSE,,1,,,9/12/2024,,,"89,967.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,43,3,2,,,TRUE,TRUE,,1,,,8/12/2024,,,200,,,HKD,,,YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer YEUNG KAI
HSBC Referral,43,3,3,,,TRUE,TRUE,,1,,,8/12/2024,,,"12,200.00",,,HKD,,,YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer YEUNG KAI
HSBC Referral,43,3,4,,,TRUE,TRUE,,1,,,10/12/2024,,,"10,000.00",,,HKD,,,YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer YEUNG KAI
Search Warrant,43,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,44,1,1,,,TRUE,TRUE,,1,,,23/12/2024,,,"24,150.00",,,HKD,,,YAN MEI MEI,,,444-4444444-102,,,STANDARD CHARTERED BANK HK LTD,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,44,2,2,,,TRUE,TRUE,,1,,,25/12/2024,,,"10,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
Police Letter,44,2,3,,,TRUE,TRUE,,1,,,25/12/2024,,,"6,100.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
Police Letter,44,2,4,,,TRUE,TRUE,,1,,,25/12/2024,,,500,,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
Police Letter,44,3,5,,,TRUE,TRUE,,1,,,23/12/2024,,,"5,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,45,1,1,,,TRUE,TRUE,,1,,,6/1/2025,,,"147,585.59",,,HKD,,,MR CHEUNG TAK SHING,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,46,1,1,,,TRUE,TRUE,,1,,,17/1/2025,,,"200,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
ADCC,46,1,2,,,TRUE,TRUE,,1,,,17/1/2025,,,"4,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,46,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,46,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,46,3,5,,,TRUE,TRUE,,1,,,19/1/2025,,,"22,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash deposit,,
Search Warrant,46,4,null,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,46,5&6,6,,,TRUE,TRUE,,1,,,18/1/2025,,,"100,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
UAR,46,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,47,1,1,,,TRUE,TRUE,,1,,,24/1/2025,,,"10,900.00",,,HKD,,,YEUNG KAI,,,666-66666-601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
Police Letter,47,2,2,,,TRUE,TRUE,,1,,,24/1/2025,,,"20,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,deposited by cash via ATM,,
Police Letter,47,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Warrant,47,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,48,1,1,,,TRUE,TRUE,,1,,,16/1/2025,,,"6,225.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,ICBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,48,2,2,,,TRUE,TRUE,,1,,,16/1/2025,,,"44,855.00",,,HKD,,,YAN MEI MEI,,,444-4444444-102,,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ODFT,48,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCC,49,1,1,,,TRUE,TRUE,,1,,,16/1/2025,,,"100,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,49,2,2,,,TRUE,TRUE,,1,,,16/1/2025,,,"100,000.00",,,HKD,,,YAN MEI MEI,,,444-4444444-102,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,49,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Warrant,50,1,null,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source: Search Warrant and Internal Referral
UAR,50,1,1,null,,TRUE,TRUE,,1,,,2/1/2024,,,"50,627.00",,,HKD,,,CHEUNG TAK SHING,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,branch,,Source: Search Warrant and Internal Referral
UAR,50,1,2,null,,TRUE,TRUE,,1,,,16/2/2024,,,"16,273.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,Source: Search Warrant and Internal Referral
UAR,50,1,3,null,,TRUE,TRUE,,1,,,9/4/2024,,,"87,540.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,Source: Search Warrant and Internal Referral
