Type,Case Number,Intelligence Number,IR_Fraud Payment,Ground_Truth_Fraud Payment,Found in Source,Found in IR,IR_Can Be Located,Ground_Truth_Can Be Located,IR_Suspect Number,Ground Truth_Suspect Number,Source_Transaction Date (value),IR_Transaction Date (value),Ground_Truth_Transaction Date (value),Source_Originating Amount,IR_Originating Amount,Ground_Truth_Originating Amount,Source_Originating Currency,IR_Originating Currency,Ground_Truth_Originating Currency,Source_Originator Name,IR_Originator Name,Ground_Truth_Originator Name,Source_Originator Account Number,IR_Originator Account Number,Ground_Truth_Originator Account Number,Source_Originator Bank Raw,IR_Originator Bank Raw,Ground_Truth_Originator Bank Raw,Source_Beneficiary Name,IR_Beneficiary Name,Ground_Truth_Beneficiary Name,Source_Beneficiary Account Number,IR_Beneficiary Account Number,Ground_Truth_Beneficiary Account Number,Source_Beneficiary Bank Raw,IR_Beneficiary Bank Raw,Ground_Truth_Beneficiary Bank Raw,Source_Transaction Channel,IR_Transaction Channel,Ground_Truth_Transaction Channel,Remarks,Case Number_from_csv,Fraud Payment,Located,Transaction Date (value),Originating Amount,Originating Currency,Originator Name,Originator Account Number,Originator Bank Raw,Beneficiary Name,Beneficiary Account Number,Beneficiary Bank Raw,Transaction Type Source,Transaction Code Description,Fraud Payment_from_csv
Police Letter,10,1,2,,,TRUE,TRUE,,3,,,22/5/2024,,,"50,000.00",,,HKD,,,null,,,null,,,null,,,CHIU,,,111-111111-103,,,HASE,,,cash deposit via ATM,,,10,2,TRUE,2024-05-22,50000,HKD,null,null,null,CHIU YAN,111-111111-103,null,null,CCCS,
Police Letter,11,1,1,,,TRUE,TRUE,,1,,,29/6/2024,,,"25,500.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,,11,1,TRUE,2024-06-29,25500,HKD,CHEUNG TAK SHING,222-222222-101,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
ODFT,12,1,1,,,TRUE,TRUE,,1,,,17/7/2024,,,"30,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,ATM,,,12,1,TRUE,2024-07-17,30000,HKD,CHEUNG TAK SHING,222-222222-101,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
Police Letter,12,2,2,,,TRUE,TRUE,,1,,,17/7/2024,,,"9,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,,12,2,TRUE,2024-07-17,9000,HKD,null,null,null,CHAN TAI MAN,111-111111-101,null,CCCS,CASH DEP VIA CDM/BCDM -  AC INPUT (TOUCH SCREEN),
Police Letter,12,3,3,,,TRUE,TRUE,,1,,,15/7/2024,,,"40,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,,12,3,TRUE,2024-07-15,40000,HKD,null,null,null,CHAN TAI MAN,111-111111-101,null,CCCS,CASH DEP VIA CDM/BCDM -  AC INPUT (TOUCH SCREEN),
UAR,13,1,1,,,TRUE,TRUE,,1,,,21/8/2024,,,"1,244.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,,13,1,TRUE,2024-08-21,1244,HKD,CHEUNG TAK SHING,222-222222-101,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
Police Letter,14,1,1,,,TRUE,TRUE,,1,,,26/7/2024,,,"10,000.00",,,HKD,,,YEUNG KAI,,,66666666601,,,China Construction Bank (Asia) Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,14,1,TRUE,2024-07-26,10000,HKD,YEUNG KAI,66666666601,China Construction Bank (Asia) Corporation Limited,MR CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Search Warrant,14,2,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,14,3,2,,,TRUE,TRUE,,1,,,28/7/2024,,,"17,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,,14,2,TRUE,2024-07-28,17000,HKD,null,null,null,MR CHAN TAI MAN,111-111111-101,null,CCCS,CASH DEP VIA CDM/BCDM -  AC INPUT (TOUCH SCREEN),
Search Warrant,14,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCC,14,5,3,,,TRUE,TRUE,,1,,,25/7/2024,,,"135,524.00",,,HKD,,,TSANG SIU MING,,,66666666602,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,14,3,TRUE,2024-07-25,135524,HKD,TSANG SIU MING,66666666602,The Hongkong and Shanghai Banking Corporation Limited,MR CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Police Letter,14,6,4,,,TRUE,TRUE,,1,,,27/7/2024,,,"20,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHAN,,,111-111111-101,,,HASE,,,null,,,14,4,TRUE,2024-07-27,20000,HKD,CHEUNG TAK SHING,222-222222-101,null,MR CHAN TAI MAN,111-111111-101,null,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,
Police Letter,14,6,5,,,TRUE,TRUE,,1,,,27/7/2024,,,"35,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHAN,,,111-111111-101,,,HASE,,,null,,,14,5,TRUE,2024-07-27,35000,HKD,CHEUNG TAK SHING,222-222222-101,null,MR CHAN TAI MAN,111-111111-101,null,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,
ODFT,15,1,1,,,TRUE,TRUE,,1,,,10/8/2024,,,"164,024.00",,,HKD,,,CHEUNG TAK SHING,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,,15,1,TRUE,2024-08-10,164024,HKD,CHEUNG TAK SHING,222-222222-101,null,CHAN TAI MAN,111-111111-101,null,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,
UAR,15,3,2,,,TRUE,TRUE,,1,,,11/8/2024,,,"98,001.00",,,HKD,,,YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,15,2,TRUE,2024-08-11,98001,HKD,YEUNG KAI,66666666601,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
Search Warrant,15,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODFT,15,5,3,,,TRUE,TRUE,,1,,,10/8/2024,,,"10,169.00",,,HKD,,,YAN MEI MEI,,,222-222222-102,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,,15,3,TRUE,2024-08-10,10169,HKD,YAN MEI MEI,222-222222-102,null,CHAN TAI MAN,111-111111-101,null,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,
ODFT,15,6,2,,,TRUE,TRUE,,1,,,11/8/2024,,,"98,001.00",,,HKD,,,YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,15,2,TRUE,2024-08-11,98001,HKD,YEUNG KAI,66666666601,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
HSBC Referral,15,7,2,,,TRUE,TRUE,,1,,,11/8/2024,,,"98,001.00",,,HKD,,,YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,15,2,TRUE,2024-08-11,98001,HKD,YEUNG KAI,66666666601,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
HSBC Referral,15,8,2,,,TRUE,TRUE,,1,,,11/8/2024,,,"98,001.00",,,HKD,,,YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,15,2,TRUE,2024-08-11,98001,HKD,YEUNG KAI,66666666601,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
ADCC,16,1,1,,,TRUE,TRUE,,1,,,30/9/2024,,,"198,500.00",,,HKD,,,YEUNG KAI,,,66666666601,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,,16,1,TRUE,2024-09-30,198500,HKD,YEUNG KAI,66666666601,China Construction Bank (Asia) Corporation Limited,MR CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Police Letter,17,1,1,,,TRUE,TRUE,,1,,,16/7/2024,,,"40,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,null,,,CHAN,,,111-111111-101,,,HASE,,,null,,,17,1,TRUE,2024-07-16,40000,HKD,CHEUNG TAK SHING,222-222222-101,null,MR CHAN TAI MAN,111-111111-101,null,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,
Police Letter,17,2,2,,,TRUE,TRUE,,1,,,15/7/2024,,,"40,500.00",,,HKD,,,YAN,,,222-222222-102,,,null,,,CHAN,,,111-111111-101,,,HASE,,,null,,,17,2,TRUE,2024-07-15,40500,HKD,YAN MEI MEI,222-222222-102,null,MR CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
Police Letter,17,3,3,,,TRUE,TRUE,,1,,,15/7/2024,,,"90,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,,17,3,TRUE,2024-07-15,90000,HKD,null,null,null,MR CHAN TAI MAN,111-111111-101,null,CCCS,CASH DEP VIA CDM/BCDM -  AC INPUT (TOUCH SCREEN),
HSBC Referral,18,1,1,,,TRUE,TRUE,,1,,,10/12/2024,,,"5,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,null,,,18,1,TRUE,2024-12-10,5000,HKD,CHEUNG TAK SHING,444-4444444-101,The Hongkong and Shanghai Banking Corporation Limited,"CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,18,2,1,,,TRUE,TRUE,,1,,,10/12/2024,,,"5,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,null,,,18,1,TRUE,2024-12-10,5000,HKD,CHEUNG TAK SHING,444-4444444-101,The Hongkong and Shanghai Banking Corporation Limited,"CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Police Letter,18,3,2,,,TRUE,TRUE,,1,,,10/12/2024,,,"1,500.00",,,HKD,,,YAN MEI MEI,,,444-4444444-102,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,null,,,18,2,TRUE,2024-12-10,1500,HKD,YAN MEI MEI,444-4444444-102,The Hongkong and Shanghai Banking Corporation Limited,"CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Search Warrant,18,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,18,5,1,,,TRUE,TRUE,,1,,,10/12/2024,,,"5,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,null,,,18,1,TRUE,2024-12-10,5000,HKD,CHEUNG TAK SHING,444-4444444-101,The Hongkong and Shanghai Banking Corporation Limited,"CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,19,1,1,,,TRUE,TRUE,,1,,,23/12/2024,,,"20,000.00",,,HKD,,,ABC1 Limited,,,444-4444444-101,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,19,1,TRUE,2024-12-23,20000,HKD,ABC1 Limited,444-4444444-101,The Hongkong and Shanghai Banking Corporation Limited,"CHAN, TAI MAN",111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
ODFT,20,1,1,,,TRUE,TRUE,,0,,,10/12/2024,,,"46,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHUNG SIU,,,333-333333-102,,,HSBC,,,null,,"AS reported payment 1 transferred to non-HASE account, no further investigation.",20,1,TRUE,2024-12-10,46000,HKD,null,222-222222-101,null,CHUNG SIU,333-333333-102,null,DUTF,ATM TRANSFER UNRELATED   WITHDRAWAL,
ODFT,20,1,2,,,TRUE,TRUE,,1,,,11/12/2024,,,"46,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,,20,2,TRUE,2024-12-11,46000,HKD,CHEUNG TAK SHING,222-222222-101,null,"CHAN, TAIMAN",111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
ADCC,21,1,1,,,TRUE,TRUE,,1,,,3/12/2024,,,"145,886.00",,,HKD,,,YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,1,TRUE,2024-12-03,145886,HKD,YEUNG KAI,66666666601,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Police Letter,21,2,2,,,TRUE,TRUE,,1,,,3/12/2024,,,"144,123.00",,,HKD,,,null,,,666-66666-602,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,2,TRUE,2024-12-03,144123,HKD,TSANG SIU MING,666-66666-602,null,MR        CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
HSBC Referral,21,3,3,,,TRUE,TRUE,,1,,,3/12/2024,,,"2,997.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,3,TRUE,2024-12-03,2997,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,21,3,4,,,TRUE,TRUE,,1,,,3/12/2024,,,"7,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,4,TRUE,2024-12-03,7001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,21,3,5,,,TRUE,TRUE,,1,,,3/12/2024,,,"5,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,5,TRUE,2024-12-03,5001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,21,3,6,,,TRUE,TRUE,,1,,,3/12/2024,,,"50,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,6,TRUE,2024-12-03,50001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,21,3,7,,,TRUE,TRUE,,1,,,3/12/2024,,,"29,999.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,7,TRUE,2024-12-03,29999,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,21,3,8,,,TRUE,TRUE,,1,,,3/12/2024,,,"29,998.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,8,TRUE,2024-12-03,29998,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,21,3,9,,,TRUE,TRUE,,1,,,3/12/2024,,,"7,999.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,9,TRUE,2024-12-03,7999,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,21,3,10,,,TRUE,TRUE,,1,,,3/12/2024,,,"10,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,10,TRUE,2024-12-03,10001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,21,3,11,,,TRUE,TRUE,,1,,,3/12/2024,,,"10,003.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,11,TRUE,2024-12-03,10003,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,21,3,12,,,TRUE,TRUE,,1,,,3/12/2024,,,"10,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,12,TRUE,2024-12-03,10001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,21,3,13,,,TRUE,TRUE,,1,,,3/12/2024,,,"7,999.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,13,TRUE,2024-12-03,7999,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,21,3,14,,,TRUE,TRUE,,1,,,3/12/2024,,,"50,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,21,14,TRUE,2024-12-03,50001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Search Warrant,21,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,22,1,1,,,TRUE,TRUE,,1,,,1/12/2024,,,"150,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,22,1,TRUE,2024-12-01,null,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,22,1,2,,,TRUE,TRUE,,1,,,1/12/2024,,,"10,575.19",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,22,2,TRUE,2024-12-01,null,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Search Warrant,22,2,3,,,TRUE,FALSE,,1,,,2/12/2024,,,"6,868.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,null,,,,,,,,,,,,,,,,,
HSBC Referral,22,3,4,,,TRUE,TRUE,,1,,,3/12/2024,,,"6,180.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,,22,4,TRUE,2024-12-03,null,HKD,null,null,null,CHAN TAI MAN,111-111111-101,null,CCAS,CIF CASH DEPOSIT,
HSBC Referral,23,1,1,,,TRUE,TRUE,,1,,,3/12/2024,,,"2,997.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,23,1,TRUE,2024-12-03,2997,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,23,1,2,,,TRUE,TRUE,,1,,,3/12/2024,,,"144,123.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,ATM,,,23,2,TRUE,2024-12-03,144123,HKD,CHEUNG TAK SHING,444-4444444-101,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
HSBC Referral,23,2,3,,,TRUE,TRUE,,1,,,3/12/2024,,,"50,001.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,23,3,TRUE,2024-12-03,50001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,23,3,4,,,TRUE,TRUE,,1,,,3/12/2024,,,"7,001.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,23,4,TRUE,2024-12-03,7001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,23,4,1,,,TRUE,TRUE,,1,,,3/12/2024,,,"2,997.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,23,1,TRUE,2024-12-03,2997,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,23,5,1,,,TRUE,TRUE,,1,,,3/12/2024,,,"2,997.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,23,1,TRUE,2024-12-03,2997,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,23,6,5,,,TRUE,TRUE,,1,,,3/12/2024,,,"5,001.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,23,5,TRUE,2024-12-03,5001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,23,7,3,,,TRUE,TRUE,,1,,,3/12/2024,,,"50,001.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,23,3,TRUE,2024-12-03,50001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,23,8,4,,,TRUE,TRUE,,1,,,3/12/2024,,,"7,001.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,23,4,TRUE,2024-12-03,7001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,23,9,5,,,TRUE,TRUE,,1,,,3/12/2024,,,"5,001.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,23,5,TRUE,2024-12-03,5001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Search Warrant,23,10,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,23,11,6,,,TRUE,TRUE,,1,,,3/12/2024,,,"50,001.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,23,6,TRUE,2024-12-03,50001,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
ADCC,23,12,2,,,TRUE,TRUE,,1,,,3/12/2024,,,"144,123.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,ATM,,,23,2,TRUE,2024-12-03,144123,HKD,CHEUNG TAK SHING,444-4444444-101,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
ODFT,24,1,1,,,TRUE,TRUE,,1,,,29/11/2024,,,"100,000.00",,,HKD,,,YEUNG KAI,,,666-66666-601,,,Standard Chartered Bank (Hong Kong) Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,24,1,TRUE,2024-11-29,100000,HKD,YEUNG KAI,666-66666-601,STANDARD CHARTERED BANK (HONG KONG) LIMITED,MR       Chan Tai Man,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,24,2,1,,,TRUE,TRUE,,1,,,29/11/2024,,,"100,000.00",,,HKD,,,YEUNG KAI,,,666-66666-601,,,Standard Chartered Bank (Hong Kong) Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,24,1,TRUE,2024-11-29,100000,HKD,YEUNG KAI,666-66666-601,STANDARD CHARTERED BANK (HONG KONG) LIMITED,MR       Chan Tai Man,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,24,3,2,,,TRUE,TRUE,,1,,,29/11/2024,,,"70,000.00",,,HKD,,,MR CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,24,2,TRUE,2024-11-29,70000,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR       Chan Tai Man,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,24,3,3,,,TRUE,TRUE,,1,,,29/11/2024,,,"100,000.00",,,HKD,,,MR CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,24,3,TRUE,2024-11-29,100000,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR       Chan Tai Man,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
